collison detect time::   	15.6714		collison pairs::   	586
collison detect time::   	14.9197		collison pairs::   	578
collison detect time::   	14.9146		collison pairs::   	594
collison detect time::   	14.9149		collison pairs::   	626
collison detect time::   	14.8966		collison pairs::   	638
collison detect time::   	14.7978		collison pairs::   	646
collison detect time::   	14.788		collison pairs::   	672
collison detect time::   	14.9105		collison pairs::   	674
collison detect time::   	14.6709		collison pairs::   	710
collison detect time::   	15.056		collison pairs::   	712
collison detect time::   	14.8415		collison pairs::   	698
collison detect time::   	14.855		collison pairs::   	708
collison detect time::   	15.0196		collison pairs::   	692
collison detect time::   	15.3545		collison pairs::   	762
collison detect time::   	14.8953		collison pairs::   	862
collison detect time::   	15.2184		collison pairs::   	910
collison detect time::   	15.6474		collison pairs::   	968
collison detect time::   	14.9488		collison pairs::   	960
collison detect time::   	15.6556		collison pairs::   	1000
collison detect time::   	16.7815		collison pairs::   	1020
collison detect time::   	16.6515		collison pairs::   	1044
collison detect time::   	17.014		collison pairs::   	1112
collison detect time::   	16.1252		collison pairs::   	1146
collison detect time::   	16.1589		collison pairs::   	1156
collison detect time::   	16.1447		collison pairs::   	1160
collison detect time::   	16.0947		collison pairs::   	1242
collison detect time::   	16.6491		collison pairs::   	1332
collison detect time::   	16.0718		collison pairs::   	1384
collison detect time::   	16.1433		collison pairs::   	1474
collison detect time::   	16.1552		collison pairs::   	1510
collison detect time::   	16.1783		collison pairs::   	1608
collison detect time::   	16.4083		collison pairs::   	1620
collison detect time::   	16.5041		collison pairs::   	1602
collison detect time::   	16.9117		collison pairs::   	1748
collison detect time::   	16.9835		collison pairs::   	1806
collison detect time::   	17.2171		collison pairs::   	1904
collison detect time::   	17.1346		collison pairs::   	1880
collison detect time::   	17.3889		collison pairs::   	1970
collison detect time::   	18.0676		collison pairs::   	2002
collison detect time::   	17.5212		collison pairs::   	2024
collison detect time::   	18.736		collison pairs::   	2074
collison detect time::   	17.6262		collison pairs::   	2108
collison detect time::   	18.6882		collison pairs::   	2094
collison detect time::   	17.8741		collison pairs::   	2066
collison detect time::   	18.7493		collison pairs::   	2072
collison detect time::   	17.6678		collison pairs::   	2108
collison detect time::   	17.862		collison pairs::   	2106
collison detect time::   	17.9951		collison pairs::   	2100
collison detect time::   	18.8055		collison pairs::   	2080
collison detect time::   	17.9834		collison pairs::   	2032
collison detect time::   	18.0814		collison pairs::   	1946
collison detect time::   	18.0532		collison pairs::   	1834
collison detect time::   	18.52		collison pairs::   	1862
collison detect time::   	18.1483		collison pairs::   	1846
collison detect time::   	17.9781		collison pairs::   	1806
collison detect time::   	18.0107		collison pairs::   	1722
collison detect time::   	17.9985		collison pairs::   	1628
collison detect time::   	17.9844		collison pairs::   	1576
collison detect time::   	19.0177		collison pairs::   	1614
collison detect time::   	18.0123		collison pairs::   	1506
collison detect time::   	17.9839		collison pairs::   	1456
collison detect time::   	18.0649		collison pairs::   	1398
collison detect time::   	18.04		collison pairs::   	1316
collison detect time::   	19.0096		collison pairs::   	1274
collison detect time::   	18.6152		collison pairs::   	1252
collison detect time::   	17.9399		collison pairs::   	1266
collison detect time::   	18.0122		collison pairs::   	1316
collison detect time::   	18.1711		collison pairs::   	1332
collison detect time::   	18.6456		collison pairs::   	1266
collison detect time::   	18.3209		collison pairs::   	1298
collison detect time::   	18.4476		collison pairs::   	1324
collison detect time::   	18.2617		collison pairs::   	1278
collison detect time::   	18.1862		collison pairs::   	1276
collison detect time::   	17.8585		collison pairs::   	1310
collison detect time::   	18.2222		collison pairs::   	1306
collison detect time::   	17.6879		collison pairs::   	1304
collison detect time::   	18.7052		collison pairs::   	1316
collison detect time::   	18.8939		collison pairs::   	1294
collison detect time::   	18.6004		collison pairs::   	1294
collison detect time::   	18.4885		collison pairs::   	1300
collison detect time::   	17.9803		collison pairs::   	1364
collison detect time::   	17.9902		collison pairs::   	1430
collison detect time::   	17.9474		collison pairs::   	1412
collison detect time::   	17.9097		collison pairs::   	1436
collison detect time::   	18.4863		collison pairs::   	1494
collison detect time::   	18.0503		collison pairs::   	1578
collison detect time::   	18.022		collison pairs::   	1632
collison detect time::   	18.235		collison pairs::   	1666
collison detect time::   	18.1458		collison pairs::   	1708
collison detect time::   	18.0631		collison pairs::   	1748
collison detect time::   	18.3843		collison pairs::   	1810
collison detect time::   	19.0974		collison pairs::   	1890
collison detect time::   	18.3017		collison pairs::   	1928
collison detect time::   	18.8503		collison pairs::   	1992
collison detect time::   	18.2979		collison pairs::   	2054
collison detect time::   	20.3005		collison pairs::   	2148
collison detect time::   	18.9963		collison pairs::   	2238
collison detect time::   	18.9306		collison pairs::   	2322
collison detect time::   	18.4773		collison pairs::   	2360
collison detect time::   	19.0731		collison pairs::   	2454
collison detect time::   	18.8364		collison pairs::   	2612
collison detect time::   	19.9204		collison pairs::   	2684
collison detect time::   	19.5101		collison pairs::   	2772
collison detect time::   	19.1372		collison pairs::   	2884
collison detect time::   	19.8967		collison pairs::   	2954
collison detect time::   	19.0949		collison pairs::   	3056
collison detect time::   	20.3075		collison pairs::   	3076
collison detect time::   	19.184		collison pairs::   	3052
collison detect time::   	19.5756		collison pairs::   	3036
collison detect time::   	19.5844		collison pairs::   	3168
collison detect time::   	19.8156		collison pairs::   	3280
collison detect time::   	19.9531		collison pairs::   	3292
collison detect time::   	25.8305		collison pairs::   	3402
collison detect time::   	19.6688		collison pairs::   	3404
collison detect time::   	19.4847		collison pairs::   	3494
collison detect time::   	19.8967		collison pairs::   	3658
collison detect time::   	20.8691		collison pairs::   	3688
collison detect time::   	20.9701		collison pairs::   	3624
collison detect time::   	20.6848		collison pairs::   	3588
collison detect time::   	20.1832		collison pairs::   	3520
collison detect time::   	20.7995		collison pairs::   	3420
collison detect time::   	21.2419		collison pairs::   	3326
collison detect time::   	21.5506		collison pairs::   	3136
collison detect time::   	20.3887		collison pairs::   	3050
collison detect time::   	20.7171		collison pairs::   	3008
collison detect time::   	20.7138		collison pairs::   	3030
collison detect time::   	20.5759		collison pairs::   	2950
collison detect time::   	20.8836		collison pairs::   	2914
collison detect time::   	21.0385		collison pairs::   	2760
collison detect time::   	21.1454		collison pairs::   	2724
collison detect time::   	20.5697		collison pairs::   	2698
collison detect time::   	20.5103		collison pairs::   	2642
collison detect time::   	21.4428		collison pairs::   	2562
collison detect time::   	20.7517		collison pairs::   	2570
collison detect time::   	20.4621		collison pairs::   	2482
collison detect time::   	20.5434		collison pairs::   	2496
collison detect time::   	20.9836		collison pairs::   	2532
collison detect time::   	20.3578		collison pairs::   	2552
collison detect time::   	20.326		collison pairs::   	2574
collison detect time::   	20.5619		collison pairs::   	2546
collison detect time::   	21.4843		collison pairs::   	2536
collison detect time::   	20.3691		collison pairs::   	2448
collison detect time::   	20.5693		collison pairs::   	2398
collison detect time::   	20.4047		collison pairs::   	2366
collison detect time::   	20.4863		collison pairs::   	2472
collison detect time::   	20.6163		collison pairs::   	2578
collison detect time::   	21.5394		collison pairs::   	2588
collison detect time::   	20.9715		collison pairs::   	2612
collison detect time::   	20.5217		collison pairs::   	2634
collison detect time::   	21.6042		collison pairs::   	2632
collison detect time::   	20.6174		collison pairs::   	2662
collison detect time::   	20.5687		collison pairs::   	2666
collison detect time::   	20.4484		collison pairs::   	2712
collison detect time::   	20.5437		collison pairs::   	2748
