collison detect time::   	16.0726		collison pairs::   	35702
collison detect time::   	116.418		collison pairs::   	35996
collison detect time::   	16.0596		collison pairs::   	36180
collison detect time::   	16.0402		collison pairs::   	36306
collison detect time::   	16.8505		collison pairs::   	36638
collison detect time::   	16.2416		collison pairs::   	36824
collison detect time::   	16.0755		collison pairs::   	37062
collison detect time::   	16.6304		collison pairs::   	37160
collison detect time::   	16.1144		collison pairs::   	37336
collison detect time::   	16.0943		collison pairs::   	37908
collison detect time::   	16.0672		collison pairs::   	38256
collison detect time::   	17.4006		collison pairs::   	38214
collison detect time::   	16.9295		collison pairs::   	38674
collison detect time::   	16.1608		collison pairs::   	38884
collison detect time::   	16.1418		collison pairs::   	39298
collison detect time::   	17.8708		collison pairs::   	39230
collison detect time::   	16.2357		collison pairs::   	39378
collison detect time::   	17.2654		collison pairs::   	39284
collison detect time::   	16.1038		collison pairs::   	39534
collison detect time::   	16.2199		collison pairs::   	39746
collison detect time::   	16.2503		collison pairs::   	39864
collison detect time::   	16.1847		collison pairs::   	40370
collison detect time::   	16.2161		collison pairs::   	40306
collison detect time::   	17.1631		collison pairs::   	40174
collison detect time::   	16.1889		collison pairs::   	40362
collison detect time::   	16.8659		collison pairs::   	40310
collison detect time::   	16.8162		collison pairs::   	40344
collison detect time::   	16.3027		collison pairs::   	40850
collison detect time::   	16.2083		collison pairs::   	40888
collison detect time::   	16.2259		collison pairs::   	40708
collison detect time::   	16.2109		collison pairs::   	41004
collison detect time::   	16.9321		collison pairs::   	40680
collison detect time::   	16.155		collison pairs::   	40790
collison detect time::   	16.4377		collison pairs::   	40600
collison detect time::   	16.2084		collison pairs::   	40606
collison detect time::   	16.3148		collison pairs::   	40426
collison detect time::   	16.2197		collison pairs::   	40658
collison detect time::   	16.2744		collison pairs::   	40870
collison detect time::   	16.3047		collison pairs::   	41158
collison detect time::   	17.2744		collison pairs::   	41526
collison detect time::   	16.3359		collison pairs::   	41934
collison detect time::   	16.4358		collison pairs::   	42122
collison detect time::   	16.4556		collison pairs::   	42586
collison detect time::   	16.4259		collison pairs::   	42932
collison detect time::   	16.452		collison pairs::   	42998
collison detect time::   	17.0948		collison pairs::   	43012
collison detect time::   	16.3943		collison pairs::   	42938
collison detect time::   	19.6442		collison pairs::   	42736
collison detect time::   	16.3225		collison pairs::   	42850
collison detect time::   	16.4144		collison pairs::   	42720
collison detect time::   	17.3414		collison pairs::   	42822
collison detect time::   	16.5604		collison pairs::   	42940
collison detect time::   	16.5218		collison pairs::   	43228
collison detect time::   	17.3967		collison pairs::   	42722
collison detect time::   	16.5263		collison pairs::   	42724
collison detect time::   	17.5031		collison pairs::   	42476
collison detect time::   	16.5051		collison pairs::   	42882
collison detect time::   	16.5233		collison pairs::   	42630
collison detect time::   	16.5017		collison pairs::   	43006
collison detect time::   	16.719		collison pairs::   	43108
collison detect time::   	16.6116		collison pairs::   	43070
collison detect time::   	17.3116		collison pairs::   	43398
collison detect time::   	16.5405		collison pairs::   	43254
collison detect time::   	16.8917		collison pairs::   	43120
collison detect time::   	16.7317		collison pairs::   	43284
collison detect time::   	16.7281		collison pairs::   	43514
collison detect time::   	16.693		collison pairs::   	43566
collison detect time::   	17.6573		collison pairs::   	43712
collison detect time::   	16.801		collison pairs::   	44154
collison detect time::   	17.6754		collison pairs::   	44592
collison detect time::   	16.9661		collison pairs::   	44964
collison detect time::   	18.1298		collison pairs::   	45362
collison detect time::   	17.37		collison pairs::   	45902
collison detect time::   	17.2824		collison pairs::   	46618
collison detect time::   	17.5331		collison pairs::   	47094
collison detect time::   	17.5437		collison pairs::   	47312
collison detect time::   	17.5837		collison pairs::   	48040
collison detect time::   	17.5901		collison pairs::   	48124
collison detect time::   	17.6108		collison pairs::   	48178
collison detect time::   	17.7335		collison pairs::   	48218
collison detect time::   	17.6041		collison pairs::   	47842
collison detect time::   	17.8194		collison pairs::   	48142
collison detect time::   	17.687		collison pairs::   	47818
collison detect time::   	17.6148		collison pairs::   	47246
collison detect time::   	17.6123		collison pairs::   	47338
collison detect time::   	17.6736		collison pairs::   	47954
collison detect time::   	17.6462		collison pairs::   	48246
collison detect time::   	17.6409		collison pairs::   	47576
collison detect time::   	18.3252		collison pairs::   	47228
collison detect time::   	18.4162		collison pairs::   	46816
collison detect time::   	18.3485		collison pairs::   	46686
collison detect time::   	17.6684		collison pairs::   	46658
collison detect time::   	17.5006		collison pairs::   	46592
collison detect time::   	17.6265		collison pairs::   	46456
collison detect time::   	17.6538		collison pairs::   	46310
collison detect time::   	18.5633		collison pairs::   	46484
collison detect time::   	17.6819		collison pairs::   	46828
collison detect time::   	17.7785		collison pairs::   	47170
collison detect time::   	17.7621		collison pairs::   	47122
collison detect time::   	17.8553		collison pairs::   	47398
collison detect time::   	19.1982		collison pairs::   	47554
collison detect time::   	17.9864		collison pairs::   	48146
collison detect time::   	17.9084		collison pairs::   	48742
collison detect time::   	18.0013		collison pairs::   	49524
collison detect time::   	18.0201		collison pairs::   	49472
collison detect time::   	18.2292		collison pairs::   	50330
collison detect time::   	18.0805		collison pairs::   	50792
collison detect time::   	18.401		collison pairs::   	51106
collison detect time::   	18.2324		collison pairs::   	51608
collison detect time::   	18.367		collison pairs::   	51160
collison detect time::   	18.3886		collison pairs::   	52414
collison detect time::   	18.4814		collison pairs::   	52270
collison detect time::   	55.0778		collison pairs::   	52872
collison detect time::   	18.4993		collison pairs::   	52862
collison detect time::   	18.5375		collison pairs::   	52842
collison detect time::   	18.4686		collison pairs::   	52428
collison detect time::   	18.4851		collison pairs::   	52722
collison detect time::   	18.4697		collison pairs::   	52794
collison detect time::   	18.6115		collison pairs::   	52282
collison detect time::   	18.6492		collison pairs::   	52642
collison detect time::   	18.574		collison pairs::   	51954
collison detect time::   	18.6244		collison pairs::   	51842
collison detect time::   	18.5842		collison pairs::   	52086
collison detect time::   	18.852		collison pairs::   	51808
collison detect time::   	18.6737		collison pairs::   	51664
collison detect time::   	18.6704		collison pairs::   	51468
collison detect time::   	18.725		collison pairs::   	50892
collison detect time::   	18.7485		collison pairs::   	51064
collison detect time::   	18.773		collison pairs::   	51432
collison detect time::   	20.0044		collison pairs::   	52102
collison detect time::   	19.3251		collison pairs::   	51986
collison detect time::   	20.9088		collison pairs::   	52564
collison detect time::   	19.4808		collison pairs::   	52540
collison detect time::   	20.5472		collison pairs::   	52872
collison detect time::   	19.8338		collison pairs::   	52960
collison detect time::   	20.3167		collison pairs::   	53246
collison detect time::   	20.2577		collison pairs::   	53406
collison detect time::   	20.1653		collison pairs::   	53738
collison detect time::   	20.3475		collison pairs::   	54126
collison detect time::   	21.1821		collison pairs::   	54714
collison detect time::   	20.3628		collison pairs::   	54808
collison detect time::   	20.8729		collison pairs::   	54592
collison detect time::   	20.2071		collison pairs::   	54498
collison detect time::   	20.4187		collison pairs::   	54352
collison detect time::   	20.3696		collison pairs::   	54902
collison detect time::   	20.6033		collison pairs::   	54856
collison detect time::   	20.4916		collison pairs::   	55146
collison detect time::   	20.7945		collison pairs::   	55428
collison detect time::   	20.7508		collison pairs::   	55666
collison detect time::   	20.7786		collison pairs::   	55346
collison detect time::   	20.9592		collison pairs::   	55874
collison detect time::   	21.6378		collison pairs::   	55732
collison detect time::   	20.7099		collison pairs::   	55718
collison detect time::   	20.9802		collison pairs::   	55908
collison detect time::   	20.9971		collison pairs::   	56370
collison detect time::   	21.7077		collison pairs::   	56500
collison detect time::   	21.1988		collison pairs::   	56666
collison detect time::   	22.063		collison pairs::   	57026
collison detect time::   	21.2851		collison pairs::   	57318
collison detect time::   	21.4538		collison pairs::   	57820
collison detect time::   	21.3954		collison pairs::   	57976
collison detect time::   	22.2938		collison pairs::   	58384
collison detect time::   	22.2773		collison pairs::   	58492
collison detect time::   	22.1281		collison pairs::   	58470
collison detect time::   	21.5972		collison pairs::   	58494
collison detect time::   	21.6319		collison pairs::   	58428
collison detect time::   	21.8999		collison pairs::   	58144
collison detect time::   	21.8516		collison pairs::   	57768
collison detect time::   	21.7395		collison pairs::   	57996
collison detect time::   	22.7383		collison pairs::   	57986
collison detect time::   	21.7437		collison pairs::   	57882
collison detect time::   	21.8085		collison pairs::   	58122
collison detect time::   	21.8879		collison pairs::   	58084
collison detect time::   	22.8327		collison pairs::   	57888
collison detect time::   	21.9652		collison pairs::   	58350
collison detect time::   	22.0882		collison pairs::   	58076
collison detect time::   	21.9783		collison pairs::   	57968
collison detect time::   	23.0559		collison pairs::   	57864
collison detect time::   	22.2995		collison pairs::   	57826
collison detect time::   	22.2482		collison pairs::   	58024
collison detect time::   	22.2708		collison pairs::   	58146
collison detect time::   	22.4752		collison pairs::   	58594
collison detect time::   	22.2997		collison pairs::   	58564
collison detect time::   	22.5356		collison pairs::   	58746
collison detect time::   	22.9621		collison pairs::   	58804
collison detect time::   	26.9977		collison pairs::   	58734
collison detect time::   	22.6306		collison pairs::   	59252
collison detect time::   	22.6833		collison pairs::   	59234
collison detect time::   	22.8548		collison pairs::   	59680
collison detect time::   	22.7658		collison pairs::   	60250
collison detect time::   	22.6673		collison pairs::   	60176
collison detect time::   	23.5988		collison pairs::   	59892
collison detect time::   	22.872		collison pairs::   	60418
collison detect time::   	23.4373		collison pairs::   	59980
collison detect time::   	23.139		collison pairs::   	60136
collison detect time::   	23.3442		collison pairs::   	60080
collison detect time::   	22.8996		collison pairs::   	60174
collison detect time::   	23.9507		collison pairs::   	60566
collison detect time::   	23.1244		collison pairs::   	60396
collison detect time::   	23.1534		collison pairs::   	60744
collison detect time::   	23.3247		collison pairs::   	60212
collison detect time::   	24.1689		collison pairs::   	60364
collison detect time::   	23.6611		collison pairs::   	60280
collison detect time::   	23.4813		collison pairs::   	60488
collison detect time::   	23.4872		collison pairs::   	61028
collison detect time::   	23.7378		collison pairs::   	61052
collison detect time::   	23.8247		collison pairs::   	61442
collison detect time::   	26.7205		collison pairs::   	62062
collison detect time::   	23.9871		collison pairs::   	62096
collison detect time::   	23.8601		collison pairs::   	62384
collison detect time::   	23.866		collison pairs::   	61932
collison detect time::   	24.0887		collison pairs::   	62548
collison detect time::   	23.9966		collison pairs::   	63040
collison detect time::   	24.8572		collison pairs::   	63718
collison detect time::   	24.0739		collison pairs::   	64310
collison detect time::   	24.3787		collison pairs::   	64108
collison detect time::   	24.0978		collison pairs::   	64208
collison detect time::   	24.4295		collison pairs::   	64438
collison detect time::   	24.1023		collison pairs::   	64622
collison detect time::   	25.123		collison pairs::   	65234
collison detect time::   	24.1846		collison pairs::   	66018
collison detect time::   	24.1439		collison pairs::   	65764
collison detect time::   	24.1138		collison pairs::   	66512
collison detect time::   	24.1618		collison pairs::   	66470
collison detect time::   	24.2517		collison pairs::   	66630
collison detect time::   	24.4004		collison pairs::   	66392
collison detect time::   	23.946		collison pairs::   	66176
collison detect time::   	23.9397		collison pairs::   	66296
collison detect time::   	24.3179		collison pairs::   	66474
collison detect time::   	25.2137		collison pairs::   	65740
collison detect time::   	24.1566		collison pairs::   	66042
collison detect time::   	24.2065		collison pairs::   	65696
collison detect time::   	24.4134		collison pairs::   	65890
collison detect time::   	24.3912		collison pairs::   	66040
collison detect time::   	24.4088		collison pairs::   	65894
collison detect time::   	24.9779		collison pairs::   	66126
collison detect time::   	25.3259		collison pairs::   	66780
collison detect time::   	25.5437		collison pairs::   	66828
collison detect time::   	24.6108		collison pairs::   	66624
collison detect time::   	24.5884		collison pairs::   	66792
collison detect time::   	24.7095		collison pairs::   	66588
collison detect time::   	24.9304		collison pairs::   	67028
collison detect time::   	24.7435		collison pairs::   	66736
collison detect time::   	25.7653		collison pairs::   	67168
collison detect time::   	24.7258		collison pairs::   	66972
collison detect time::   	25.6787		collison pairs::   	67092
collison detect time::   	24.7508		collison pairs::   	66982
collison detect time::   	25.381		collison pairs::   	67306
collison detect time::   	24.3919		collison pairs::   	67328
collison detect time::   	24.911		collison pairs::   	67606
collison detect time::   	24.8823		collison pairs::   	67236
collison detect time::   	24.8696		collison pairs::   	67276
collison detect time::   	25.1983		collison pairs::   	67500
collison detect time::   	25.725		collison pairs::   	67386
collison detect time::   	25.4096		collison pairs::   	67606
collison detect time::   	25.5329		collison pairs::   	68006
collison detect time::   	25.2311		collison pairs::   	68276
collison detect time::   	26.1348		collison pairs::   	67976
collison detect time::   	25.0583		collison pairs::   	68442
collison detect time::   	25.328		collison pairs::   	68710
collison detect time::   	25.4474		collison pairs::   	69496
collison detect time::   	26.4974		collison pairs::   	70050
collison detect time::   	25.8491		collison pairs::   	71136
collison detect time::   	25.8492		collison pairs::   	71608
collison detect time::   	25.8481		collison pairs::   	72232
collison detect time::   	26.0821		collison pairs::   	72246
collison detect time::   	26.1967		collison pairs::   	72388
collison detect time::   	26.2368		collison pairs::   	73020
collison detect time::   	26.0517		collison pairs::   	73328
collison detect time::   	26.4739		collison pairs::   	73090
collison detect time::   	26.4044		collison pairs::   	73728
collison detect time::   	27.0923		collison pairs::   	73488
collison detect time::   	26.4057		collison pairs::   	74068
collison detect time::   	26.3006		collison pairs::   	73584
collison detect time::   	26.4774		collison pairs::   	72986
collison detect time::   	26.6167		collison pairs::   	72426
collison detect time::   	26.381		collison pairs::   	72192
collison detect time::   	26.3874		collison pairs::   	71422
collison detect time::   	26.398		collison pairs::   	71238
